trial, condition, presented_words, recalled_words
45,normal,"['mate', 'neck', 'pond', 'folk', 'sand', 'mole', 'roof', 'dune', 'clam', 'pals', 'foot', 'tuna', 'crow', 'mist', 'park']","['mist', 'park', 'crow', 'mate', 'mole', 'pond', 'foot']"
46,normal,"['mask', 'soup', 'cave', 'plum', 'pear', 'hair', 'rice', 'bull', 'foot', 'worm', 'lamp', 'bush', 'game', 'isle', 'bear']","['bear', 'isle', 'worm', 'mask', 'bush', 'fish']"
47,normal,"['goat', 'path', 'wave', 'head', 'yard', 'pipe', 'cake', 'cart', 'tree', 'vest', 'mule', 'tide', 'mask', 'ring', 'rain']","['mask', 'ring', 'rain', 'goat', 'path', 'ring', 'wave', 'head', 'yeard']"
48,normal,"['ball', 'sock', 'hawk', 'desk', 'wall', 'chip', 'mall', 'papa', 'dock', 'tree', 'tool', 'mule', 'reef', 'plum', 'wave']","['mule', 'reef', 'plum', 'mist', 'tree', 'note']"
49,normal,"['land', 'rock', 'lamb', 'gulf', 'lady', 'wood', 'soda', 'mule', 'game', 'flag', 'mask', 'mole', 'reef', 'guru', 'deer']","['land', 'deer', 'reef', 'lady', 'soda', 'crab', 'guru', 'tree', 'sand']"
50,normal,"['ring', 'dock', 'boot', 'door', 'loaf', 'salt', 'port', 'nail', 'mask', 'reef', 'frog', 'seal', 'lake', 'yard', 'lips']","['frog', 'seal', 'lake', 'nail', 'door', 'port', 'dock', 'lips', 'ring', 'hand']"
51,normal,"['star', 'wire', 'milk', 'belt', 'lord', 'papa', 'fish', 'diva', 'taco', 'beer', 'book', 'clip', 'sand', 'face', 'sofa']","['lord', 'diva', 'star', 'belt', 'milk', 'taco', 'wire', 'papa']"
52,normal,"['fork', 'vest', 'hair', 'lord', 'mall', 'cave', 'tree', 'sand', 'city', 'town', 'lark', 'foot', 'lock', 'soil', 'mule']","['vest', 'fork', 'hair', 'cave', 'town', 'city', 'mall', 'foot', 'sand', 'lock']"
53,normal,"['toad', 'tree', 'chip', 'dune', 'bean', 'hero', 'town', 'lady', 'beer', 'desk', 'boar', 'mate', 'back', 'pals', 'nail']","['nail', 'pals', 'back', 'mate', 'lady', 'desk', 'city', 'town', 'toad', 'dune', 'bean', 'beer']"
54,normal,"['mist', 'door', 'maid', 'team', 'folk', 'baby', 'carp', 'mule', 'dune', 'neck', 'farm', 'wood', 'fern', 'wine', 'game']","['game', 'mist', 'farm', 'wood', 'baby', 'neck', 'mist', 'lady', 'dune']"
55,normal,"['fern', 'cart', 'sand', 'seat', 'mask', 'clan', 'pipe', 'bear', 'film', 'lark', 'gulf', 'isle', 'farm', 'face', 'gang']","['gang', 'gulf', 'farm', 'face', 'clan', 'pipe', 'bear', 'film']"
56,normal,"['mine', 'hill', 'lord', 'duck', 'wood', 'guru', 'lion', 'lamp', 'wall', 'salt', 'hare', 'carp', 'wave', 'shoe', 'moon']","['moon', 'wave', 'hare', 'shoe', 'lion', 'guru', 'carp']"
57,normal,"['bull', 'bike', 'swan', 'soil', 'wall', 'bear', 'barn', 'nail', 'nerd', 'mist', 'frog', 'gulf', 'road', 'folk', 'boot']","['boot', 'folk', 'road', 'nail', 'bear', 'bull', 'bike', 'swan', 'soil', 'wall', 'barn', 'nerd']"
58,normal,"['fire', 'brat', 'flag', 'lion', 'lips', 'skin', 'star', 'maid', 'wife', 'crow', 'pals', 'milk', 'pipe', 'sand', 'farm']","['farm', 'sand', 'star', 'maid', 'diva', 'fire', 'lion', 'lips', 'skin', 'pals', 'crow']"
59,normal,"['pear', 'girl', 'star', 'gang', 'pals', 'roof', 'fire', 'lady', 'brat', 'back', 'beer', 'clam', 'port', 'papa', 'ring']","['papa', 'ring', 'clam', 'port', 'pals', 'gang', 'lady', 'diva', 'fire', 'beer']"
60,fast,"['ball', 'hare', 'rope', 'drum', 'cake', 'hair', 'lord', 'bush', 'peer', 'seal', 'town', 'dock', 'tuna', 'bell', 'diva']","['tuna', 'bell', 'diva', 'hair', 'hair', 'ball']"
61,fast,"['wind', 'soup', 'neck', 'beef', 'ball', 'coin', 'salt', 'bull', 'wall', 'folk', 'deer', 'chef', 'mate', 'mask', 'rain']","['rain', 'wall', 'neck', 'wind', 'soup', 'neck', 'beef']"
62,fast,"['rain', 'fern', 'lady', 'baby', 'yard', 'barn', 'tent', 'wood', 'loaf', 'pals', 'sofa', 'coin', 'bike', 'coat', 'cart']","['coat', 'cart', 'rain', 'baby', 'lady']"
63,fast,"['sand', 'vest', 'cave', 'pond', 'dune', 'reef', 'crow', 'swan', 'soil', 'king', 'bear', 'nail', 'chip', 'duck', 'wood']","['chip', 'duck', 'wood', 'sand', 'nail']"
64,fast,"['soup', 'bowl', 'gnat', 'clan', 'crew', 'nose', 'lark', 'shed', 'face', 'gulf', 'swan', 'neck', 'park', 'papa', 'cola']","['papa', 'cola', 'guld', 'swan', 'neck', 'soup', 'bowl', 'clan']"
