trial,condition,presented_words,recalled_words
183,normal,"['belt', 'girl', 'hare', 'coat', 'wind', 'foot', 'hand', 'pond', 'sofa', 'star', 'pals', 'game', 'shop', 'seal', 'book']","['girl', 'sofa', 'star', 'pond', 'belt', 'book']"
184,normal,"['isle', 'milk', 'belt', 'barn', 'tree', 'guru', 'crab', 'bowl', 'gulf', 'fern', 'clam', 'game', 'back', 'shed', 'mall']","['clam', 'fern', 'mall', 'book', 'shell']"
185,normal,"['isle', 'city', 'frog', 'bowl', 'deer', 'port', 'reef', 'carp', 'maid', 'mist', 'vest', 'gang', 'meat', 'shop', 'dude']","['isle', 'city', 'frog', 'bowl', 'deer', 'carp']"
186,normal,"['cave', 'rice', 'toad', 'seat', 'pond', 'cola', 'bean', 'nail', 'wave', 'goat', 'fire', 'loaf', 'lord', 'nose', 'sand']","['cave', 'rice', 'toad', 'pond', 'bean', 'loaf', 'fire']"
187,normal,"['wind', 'pita', 'beef', 'fire', 'belt', 'hand', 'shop', 'pony', 'road', 'boss', 'mist', 'rock', 'tent', 'book', 'lord']","['wind pita meat shop lord fire', 'book']"
188,normal,"['deer', 'park', 'stew', 'card', 'pipe', 'seal', 'bowl', 'yard', 'mama', 'hair', 'sock', 'duck', 'coin', 'taco', 'pals']","['deer', 'park', 'stew', 'card', 'bowl', 'coin']"
189,normal,"['peer', 'wall', 'hill', 'book', 'desk', 'chip', 'fish', 'note', 'mole', 'wire', 'tuna', 'hand', 'corn', 'dove', 'skin']","['peer', 'wall', 'fish', 'chip', 'bowl']"
190,normal,"['desk', 'lake', 'diva', 'meat', 'hawk', 'nose', 'rock', 'mule', 'taco', 'guru', 'pony', 'calf', 'crew', 'cake', 'wall']","['desk', 'meat', 'park', 'hawk', 'nose', 'park']"
191,normal,"['isle', 'mist', 'tent', 'wave', 'clam', 'lamp', 'port', 'loaf', 'corn', 'hawk', 'mine', 'diva', 'mate', 'coin', 'note']","['isle mist tent clam wait port coin', 'guru']"
192,normal,"['dove', 'wine', 'town', 'bowl', 'wave', 'milk', 'sofa', 'door', 'card', 'fork', 'loaf', 'wood', 'diva', 'swan', 'bean']","['dove', 'wine', 'town', 'bowl', 'door', 'card', 'diva']"
193,normal,"['lips', 'diva', 'pony', 'town', 'bean', 'deer', 'maid', 'vest', 'star', 'bear', 'stew', 'boss', 'boar', 'snow', 'meat']","['diva', 'lips', 'pony', 'town', 'star', 'bear', 'meat', 'lips']"
194,normal,"['frog', 'bush', 'pony', 'port', 'park', 'nose', 'shed', 'dust', 'fish', 'shoe', 'mule', 'wall', 'dove', 'dock', 'lord']","['forg', 'bush', 'pony', 'port', 'fish', 'shed', 'dock', 'lord']"
195,normal,"['soda', 'hare', 'king', 'hero', 'toad', 'lion', 'rock', 'dust', 'isle', 'crow', 'clam', 'lake', 'plum', 'shed', 'sofa']","['soda hare king clam', 'head']"
196,normal,"['rock', 'book', 'pony', 'cart', 'fish', 'wind', 'hill', 'nail', 'snow', 'pita', 'bush', 'salt', 'stew', 'lady', 'brat']","['brat', 'rock', 'cold', 'pony', 'cart', 'fish', 'hill']"
197,normal,"['ball', 'wife', 'coin', 'barn', 'crab', 'pond', 'goat', 'star', 'peer', 'seal', 'mule', 'dove', 'seat', 'loaf', 'pear']","['ball', 'wife', 'grab', 'goat', 'star', 'pond', 'gold', 'peer']"
198,normal,"['port', 'brat', 'bean', 'hair', 'team', 'boss', 'diva', 'clan', 'moon', 'chip', 'crow', 'lake', 'head', 'sand', 'chef']","['port', 'brat', 'diva', 'head', 'team', 'club']"
199,normal,"['belt', 'flag', 'sand', 'rock', 'crow', 'lock', 'drum', 'goat', 'clan', 'face', 'mall', 'port', 'folk', 'reef', 'mule']","['boat', 'club', 'clam', 'rock', 'belt', 'sand', 'mule', 'face']"
